Sample_ID,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
Sample_1,5.1,3.5,1.4,0.2,setosa
Sample_2,4.9,3,1.4,0.2,setosa
Sample_3,4.7,3.2,1.3,0.2,setosa
Sample_4,4.6,3.1,1.5,0.2,setosa
Sample_5,5,3.6,1.4,0.2,setosa
Sample_6,5.4,3.9,1.7,0.4,setosa
Sample_7,4.6,3.4,1.4,0.3,setosa
Sample_8,5,3.4,1.5,0.2,setosa
Sample_9,4.4,2.9,1.4,0.2,setosa
Sample_10,4.9,3.1,1.5,0.1,setosa
Sample_11,5.4,3.7,1.5,0.2,setosa
Sample_12,4.8,3.4,1.6,0.2,setosa
Sample_13,4.8,3,1.4,0.1,setosa
Sample_14,4.3,3,1.1,0.1,setosa
Sample_15,5.8,4,1.2,0.2,setosa
Sample_16,5.7,4.4,1.5,0.4,setosa
Sample_17,5.4,3.9,1.3,0.4,setosa
Sample_18,5.1,3.5,1.4,0.3,setosa
Sample_19,5.7,3.8,1.7,0.3,setosa
Sample_20,5.1,3.8,1.5,0.3,setosa
Sample_21,5.4,3.4,1.7,0.2,setosa
Sample_22,5.1,3.7,1.5,0.4,setosa
Sample_23,4.6,3.6,1,0.2,setosa
Sample_24,5.1,3.3,1.7,0.5,setosa
Sample_25,4.8,3.4,1.9,0.2,setosa
Sample_26,5,3,1.6,0.2,setosa
Sample_27,5,3.4,1.6,0.4,setosa
Sample_28,5.2,3.5,1.5,0.2,setosa
Sample_29,5.2,3.4,1.4,0.2,setosa
Sample_30,4.7,3.2,1.6,0.2,setosa
Sample_31,4.8,3.1,1.6,0.2,setosa
Sample_32,5.4,3.4,1.5,0.4,setosa
Sample_33,5.2,4.1,1.5,0.1,setosa
Sample_34,5.5,4.2,1.4,0.2,setosa
Sample_35,4.9,3.1,1.5,0.2,setosa
Sample_36,5,3.2,1.2,0.2,setosa
Sample_37,5.5,3.5,1.3,0.2,setosa
Sample_38,4.9,3.6,1.4,0.1,setosa
Sample_39,4.4,3,1.3,0.2,setosa
Sample_40,5.1,3.4,1.5,0.2,setosa
Sample_41,5,3.5,1.3,0.3,setosa
Sample_42,4.5,2.3,1.3,0.3,setosa
Sample_43,4.4,3.2,1.3,0.2,setosa
Sample_44,5,3.5,1.6,0.6,setosa
Sample_45,5.1,3.8,1.9,0.4,setosa
Sample_46,4.8,3,1.4,0.3,setosa
Sample_47,5.1,3.8,1.6,0.2,setosa
Sample_48,4.6,3.2,1.4,0.2,setosa
Sample_49,5.3,3.7,1.5,0.2,setosa
Sample_50,5,3.3,1.4,0.2,setosa
Sample_51,7,3.2,4.7,1.4,versicolor
Sample_52,6.4,3.2,4.5,1.5,versicolor
Sample_53,6.9,3.1,4.9,1.5,versicolor
Sample_54,5.5,2.3,4,1.3,versicolor
Sample_55,6.5,2.8,4.6,1.5,versicolor
Sample_56,5.7,2.8,4.5,1.3,versicolor
Sample_57,6.3,3.3,4.7,1.6,versicolor
Sample_58,4.9,2.4,3.3,1,versicolor
Sample_59,6.6,2.9,4.6,1.3,versicolor
Sample_60,5.2,2.7,3.9,1.4,versicolor
Sample_61,5,2,3.5,1,versicolor
Sample_62,5.9,3,4.2,1.5,versicolor
Sample_63,6,2.2,4,1,versicolor
Sample_64,6.1,2.9,4.7,1.4,versicolor
Sample_65,5.6,2.9,3.6,1.3,versicolor
Sample_66,6.7,3.1,4.4,1.4,versicolor
Sample_67,5.6,3,4.5,1.5,versicolor
Sample_68,5.8,2.7,4.1,1,versicolor
Sample_69,6.2,2.2,4.5,1.5,versicolor
Sample_70,5.6,2.5,3.9,1.1,versicolor
Sample_71,5.9,3.2,4.8,1.8,versicolor
Sample_72,6.1,2.8,4,1.3,versicolor
Sample_73,6.3,2.5,4.9,1.5,versicolor
Sample_74,6.1,2.8,4.7,1.2,versicolor
Sample_75,6.4,2.9,4.3,1.3,versicolor
Sample_76,6.6,3,4.4,1.4,versicolor
Sample_77,6.8,2.8,4.8,1.4,versicolor
Sample_78,6.7,3,5,1.7,versicolor
Sample_79,6,2.9,4.5,1.5,versicolor
Sample_80,5.7,2.6,3.5,1,versicolor
Sample_81,5.5,2.4,3.8,1.1,versicolor
Sample_82,5.5,2.4,3.7,1,versicolor
Sample_83,5.8,2.7,3.9,1.2,versicolor
Sample_84,6,2.7,5.1,1.6,versicolor
Sample_85,5.4,3,4.5,1.5,versicolor
Sample_86,6,3.4,4.5,1.6,versicolor
Sample_87,6.7,3.1,4.7,1.5,versicolor
Sample_88,6.3,2.3,4.4,1.3,versicolor
Sample_89,5.6,3,4.1,1.3,versicolor
Sample_90,5.5,2.5,4,1.3,versicolor
Sample_91,5.5,2.6,4.4,1.2,versicolor
Sample_92,6.1,3,4.6,1.4,versicolor
Sample_93,5.8,2.6,4,1.2,versicolor
Sample_94,5,2.3,3.3,1,versicolor
Sample_95,5.6,2.7,4.2,1.3,versicolor
Sample_96,5.7,3,4.2,1.2,versicolor
Sample_97,5.7,2.9,4.2,1.3,versicolor
Sample_98,6.2,2.9,4.3,1.3,versicolor
Sample_99,5.1,2.5,3,1.1,versicolor
Sample_100,5.7,2.8,4.1,1.3,versicolor
Sample_101,6.3,3.3,6,2.5,virginica
Sample_102,5.8,2.7,5.1,1.9,virginica
Sample_103,7.1,3,5.9,2.1,virginica
Sample_104,6.3,2.9,5.6,1.8,virginica
Sample_105,6.5,3,5.8,2.2,virginica
Sample_106,7.6,3,6.6,2.1,virginica
Sample_107,4.9,2.5,4.5,1.7,virginica
Sample_108,7.3,2.9,6.3,1.8,virginica
Sample_109,6.7,2.5,5.8,1.8,virginica
Sample_110,7.2,3.6,6.1,2.5,virginica
Sample_111,6.5,3.2,5.1,2,virginica
Sample_112,6.4,2.7,5.3,1.9,virginica
Sample_113,6.8,3,5.5,2.1,virginica
Sample_114,5.7,2.5,5,2,virginica
Sample_115,5.8,2.8,5.1,2.4,virginica
Sample_116,6.4,3.2,5.3,2.3,virginica
Sample_117,6.5,3,5.5,1.8,virginica
Sample_118,7.7,3.8,6.7,2.2,virginica
Sample_119,7.7,2.6,6.9,2.3,virginica
Sample_120,6,2.2,5,1.5,virginica
Sample_121,6.9,3.2,5.7,2.3,virginica
Sample_122,5.6,2.8,4.9,2,virginica
Sample_123,7.7,2.8,6.7,2,virginica
Sample_124,6.3,2.7,4.9,1.8,virginica
Sample_125,6.7,3.3,5.7,2.1,virginica
Sample_126,7.2,3.2,6,1.8,virginica
Sample_127,6.2,2.8,4.8,1.8,virginica
Sample_128,6.1,3,4.9,1.8,virginica
Sample_129,6.4,2.8,5.6,2.1,virginica
Sample_130,7.2,3,5.8,1.6,virginica
Sample_131,7.4,2.8,6.1,1.9,virginica
Sample_132,7.9,3.8,6.4,2,virginica
Sample_133,6.4,2.8,5.6,2.2,virginica
Sample_134,6.3,2.8,5.1,1.5,virginica
Sample_135,6.1,2.6,5.6,1.4,virginica
Sample_136,7.7,3,6.1,2.3,virginica
Sample_137,6.3,3.4,5.6,2.4,virginica
Sample_138,6.4,3.1,5.5,1.8,virginica
Sample_139,6,3,4.8,1.8,virginica
Sample_140,6.9,3.1,5.4,2.1,virginica
Sample_141,6.7,3.1,5.6,2.4,virginica
Sample_142,6.9,3.1,5.1,2.3,virginica
Sample_143,5.8,2.7,5.1,1.9,virginica
Sample_144,6.8,3.2,5.9,2.3,virginica
Sample_145,6.7,3.3,5.7,2.5,virginica
Sample_146,6.7,3,5.2,2.3,virginica
Sample_147,6.3,2.5,5,1.9,virginica
Sample_148,6.5,3,5.2,2,virginica
Sample_149,6.2,3.4,5.4,2.3,virginica
Sample_150,5.9,3,5.1,1.8,virginica